Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-17,20:59:08,531470496,157.219,3380446,1690223,106m,6,4,12g,4,4,8g,lz4,68k,44k,76k,120m,0.5,0.9,112m,org.apache.spark.serializer.JavaSerializer,34k,0.9,200,8,0.4,356m,0.4
ScalaSparkPagerank,2023-04-17,21:12:55,531470496,197.818,2686663,1343331,6m,6,8,15g,4,4,8g,lzf,126k,76k,108k,84m,0.7,0.2,74m,org.apache.spark.serializer.KryoSerializer,26k,0.5,100,8,0.8,428m,0.5
ScalaSparkPagerank,2023-04-17,21:29:52,531470496,360.683,1473511,736755,54m,2,4,4g,2,8,4g,lz4,20k,24k,36k,4m,0.6,0.6,128m,org.apache.spark.serializer.JavaSerializer,24k,0.4,600,8,0.4,432m,0.3
ScalaSparkPagerank,2023-04-17,21:43:31,531470496,159.286,3336580,1668290,24m,16,7,13g,2,8,4g,lzf,106k,8k,114k,28m,0.9,0.1,68m,org.apache.spark.serializer.JavaSerializer,4k,0.8,50,8,0.7,356m,0.3
ScalaSparkPagerank,2023-04-17,21:57:01,531470496,170.185,3122898,1561449,86m,10,6,7g,8,2,16g,lzf,74k,98k,48k,116m,0.5,0.8,48m,org.apache.spark.serializer.JavaSerializer,126k,0.3,650,8,0.1,444m,0.3
ScalaSparkPagerank,2023-04-17,22:11:08,531470496,183.533,2895776,1447888,120m,4,5,7g,8,2,16g,snappy,36k,92k,102k,80m,0.9,0.2,48m,org.apache.spark.serializer.JavaSerializer,28k,0.9,50,8,0.4,484m,0.7
ScalaSparkPagerank,2023-04-17,22:28:41,531470496,253.375,2097564,1048782,112m,4,4,16g,2,8,4g,snappy,56k,98k,112k,68m,0.3,0.4,100m,org.apache.spark.serializer.JavaSerializer,84k,0.7,600,8,0.6,226m,0.5
ScalaSparkPagerank,2023-04-17,22:43:43,531470496,163.753,3245561,1622780,100m,12,4,15g,2,8,4g,snappy,80k,66k,24k,84m,0.4,0.6,118m,org.apache.spark.serializer.JavaSerializer,66k,0.9,400,8,0.9,178m,0.9
ScalaSparkPagerank,2023-04-17,22:59:48,531470496,166.22,3197391,1598695,26m,4,2,16g,4,4,8g,lz4,80k,62k,8k,4m,0.3,0.7,60m,org.apache.spark.serializer.KryoSerializer,32k,0.7,300,8,0.2,334m,0.2
ScalaSparkPagerank,2023-04-17,23:13:37,531470496,195.719,2715477,1357738,80m,14,5,12g,4,4,8g,lzf,12k,26k,26k,76m,0.8,0.6,110m,org.apache.spark.serializer.KryoSerializer,58k,0.8,700,8,0.9,30m,0.7
