Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-20,13:17:33,8032739912,127.483,63010283,31505141,48m,16,1,16g,8,2,16g,lzf,66k,117k,118k,95m,0.89,0.25,56m,org.apache.spark.serializer.JavaSerializer,17k,0.2,255,0.17,494m,0.27
ScalaSparkKmeans,2023-04-20,13:29:40,8032739912,206.507,38898148,19449074,71m,8,1,16g,8,2,16g,lzf,43k,66k,127k,31m,0.27,0.81,31m,org.apache.spark.serializer.KryoSerializer,119k,0.51,766,0.11,121m,0.58
ScalaSparkKmeans,2023-04-20,13:42:55,8032739912,131.797,60947820,30473910,46m,15,1,16g,2,8,4g,snappy,66k,60k,54k,117m,0.75,0.73,27m,org.apache.spark.serializer.JavaSerializer,41k,0.64,81,0.37,227m,0.64
ScalaSparkKmeans,2023-04-20,13:53:55,8032739912,120.859,66463729,33231864,106m,12,1,16g,4,4,8g,lzf,51k,124k,67k,52m,0.52,0.66,67m,org.apache.spark.serializer.JavaSerializer,128k,0.54,483,0.84,253m,0.35
ScalaSparkKmeans,2023-04-20,14:04:08,8032739912,111.89,71791401,35895700,71m,11,1,16g,8,2,16g,lzf,81k,17k,96k,95m,0.35,0.45,103m,org.apache.spark.serializer.JavaSerializer,45k,0.44,718,0.63,173m,0.25
ScalaSparkKmeans,2023-04-20,14:15:49,8032739912,120.006,66936152,33468076,122m,2,1,16g,4,4,8g,lzf,97k,103k,102k,81m,0.43,0.45,103m,org.apache.spark.serializer.KryoSerializer,16k,0.74,425,0.26,420m,0.35
ScalaSparkKmeans,2023-04-20,14:27:34,8032739912,129.659,61952814,30976407,103m,13,1,16g,2,8,4g,snappy,75k,21k,56k,29m,0.45,0.23,127m,org.apache.spark.serializer.JavaSerializer,69k,0.77,345,0.88,377m,0.7
ScalaSparkKmeans,2023-04-20,14:38:47,8032739912,134.637,59662202,29831101,89m,8,1,16g,2,8,4g,lzf,65k,31k,114k,45m,0.68,0.62,64m,org.apache.spark.serializer.KryoSerializer,61k,0.85,770,0.54,111m,0.7
ScalaSparkKmeans,2023-04-20,14:52:20,8032739912,251.027,31999505,15999752,24m,7,1,16g,2,8,4g,lzf,32k,120k,51k,52m,0.29,0.12,64m,org.apache.spark.serializer.JavaSerializer,45k,0.75,685,0.81,179m,0.58
ScalaSparkKmeans,2023-04-20,15:04:42,8032739912,123.81,64879572,32439786,114m,15,1,16g,4,4,8g,lz4,81k,8k,37k,38m,0.66,0.88,52m,org.apache.spark.serializer.KryoSerializer,32k,0.13,135,0.5,237m,0.84
ScalaSparkKmeans,2023-04-20,15:19:38,8032739912,396.352,20266681,10133340,13m,5,1,16g,8,2,16g,lzf,87k,63k,118k,93m,0.13,0.19,54m,org.apache.spark.serializer.JavaSerializer,65k,0.39,798,0.23,253m,0.58
ScalaSparkKmeans,2023-04-20,15:33:16,8032739912,114.341,70252489,35126244,44m,7,1,16g,8,2,16g,lzf,118k,80k,89k,72m,0.7,0.69,127m,org.apache.spark.serializer.KryoSerializer,127k,0.7,783,0.17,193m,0.85
ScalaSparkKmeans,2023-04-20,15:44:14,8032739912,116.944,68688773,34344386,31m,11,1,16g,8,2,16g,lzf,69k,71k,108k,24m,0.62,0.15,63m,org.apache.spark.serializer.JavaSerializer,118k,0.61,694,0.4,213m,0.26
ScalaSparkKmeans,2023-04-20,15:54:52,8032739912,118.643,67705131,33852565,115m,14,1,16g,8,2,16g,lz4,61k,109k,25k,79m,0.48,0.12,16m,org.apache.spark.serializer.KryoSerializer,13k,0.73,445,0.68,212m,0.11
ScalaSparkKmeans,2023-04-20,16:05:56,8032739912,135.797,59152557,29576278,48m,15,1,16g,2,8,4g,snappy,72k,127k,44k,127m,0.88,0.47,113m,org.apache.spark.serializer.JavaSerializer,37k,0.69,373,0.52,413m,0.32
ScalaSparkKmeans,2023-04-20,16:16:33,8032739912,121.666,66022881,33011440,40m,11,1,16g,4,4,8g,lz4,12k,68k,46k,16m,0.41,0.88,83m,org.apache.spark.serializer.KryoSerializer,69k,0.17,54,0.67,450m,0.42
ScalaSparkKmeans,2023-04-20,16:27:08,8032739912,134.374,59778974,29889487,28m,7,1,16g,2,8,4g,lzf,78k,78k,119k,91m,0.55,0.4,104m,org.apache.spark.serializer.JavaSerializer,53k,0.13,134,0.26,449m,0.63
ScalaSparkKmeans,2023-04-22,01:49:21,8032739922,129.15,62196979,31098489,56m,8,4,11g,8,2,16g,snappy,117k,99k,84k,36m,0.5,0.15,86m,org.apache.spark.serializer.JavaSerializer,32k,0.29,623,0.34,84m,0.26
ScalaSparkKmeans,2023-04-22,02:00:09,8032739922,139.326,57654277,28827138,78m,7,7,16g,2,8,4g,lz4,15k,91k,59k,75m,0.44,0.19,82m,org.apache.spark.serializer.JavaSerializer,37k,0.84,423,0.48,105m,0.57
