Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-20,09:32:19,4800000000,122.427,39207037,19603518,14m,13,1,16g,2,8,4g,lz4,79k,116k,72k,71m,0.6,0.84,57m,org.apache.spark.serializer.KryoSerializer,123k,0.38,697,0.54,83m,0.9
ScalaSparkTerasort,2023-04-20,09:48:24,4800000000,117.119,40983956,20491978,123m,5,1,16g,8,2,16g,lzf,35k,100k,7k,78m,0.22,0.83,64m,org.apache.spark.serializer.JavaSerializer,93k,0.57,309,0.54,409m,0.23
ScalaSparkTerasort,2023-04-20,09:59:13,4800000000,132.673,36179177,18089588,85m,12,1,16g,8,2,16g,lzf,45k,95k,80k,22m,0.8,0.2,22m,org.apache.spark.serializer.JavaSerializer,24k,0.23,240,0.53,95m,0.82
ScalaSparkTerasort,2023-04-20,10:09:26,4800000000,129.414,37090268,18545134,68m,8,1,16g,8,2,16g,lz4,83k,117k,61k,56m,0.62,0.51,90m,org.apache.spark.serializer.JavaSerializer,8k,0.62,192,0.15,253m,0.79
ScalaSparkTerasort,2023-04-20,10:20:27,4800000000,118.95,40353089,20176544,29m,12,1,16g,2,8,4g,snappy,71k,67k,96k,49m,0.58,0.48,68m,org.apache.spark.serializer.JavaSerializer,23k,0.71,643,0.19,192m,0.62
ScalaSparkTerasort,2023-04-20,10:35:57,4800000000,112.584,42634832,21317416,81m,2,1,16g,8,2,16g,lz4,102k,40k,37k,48m,0.24,0.89,115m,org.apache.spark.serializer.KryoSerializer,64k,0.82,283,0.74,153m,0.44
ScalaSparkTerasort,2023-04-20,10:47:03,4800000000,135.654,35384139,17692069,50m,3,1,16g,8,2,16g,lzf,46k,30k,123k,100m,0.72,0.43,25m,org.apache.spark.serializer.JavaSerializer,111k,0.31,698,0.9,486m,0.11
ScalaSparkTerasort,2023-04-20,10:59:37,4800000000,128.704,37294878,18647439,25m,14,1,16g,2,8,4g,lz4,17k,34k,84k,115m,0.33,0.27,34m,org.apache.spark.serializer.KryoSerializer,76k,0.67,501,0.48,474m,0.88
ScalaSparkTerasort,2023-04-20,11:10:54,4800000000,121.804,39407572,19703786,83m,5,1,16g,2,8,4g,lz4,81k,89k,15k,35m,0.67,0.56,40m,org.apache.spark.serializer.KryoSerializer,98k,0.27,293,0.71,112m,0.19
ScalaSparkTerasort,2023-04-20,11:27:14,4800000000,123.069,39002510,19501255,79m,5,1,16g,8,2,16g,lzf,111k,2k,128k,111m,0.21,0.59,73m,org.apache.spark.serializer.KryoSerializer,7k,0.56,118,0.59,152m,0.47
ScalaSparkTerasort,2023-04-20,11:37:54,4800000000,132.646,36186541,18093270,74m,11,1,16g,8,2,16g,snappy,88k,100k,126k,31m,0.47,0.43,79m,org.apache.spark.serializer.JavaSerializer,25k,0.83,62,0.58,187m,0.58
ScalaSparkTerasort,2023-04-20,11:51:35,4800000000,138.518,34652536,17326268,83m,13,1,16g,8,2,16g,snappy,106k,15k,79k,95m,0.28,0.61,78m,org.apache.spark.serializer.JavaSerializer,98k,0.85,569,0.62,326m,0.64
