Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-20,16:29:15,199713981,121.495,1643804,821902,28m,7,1,16g,2,8,4g,lzf,78k,78k,119k,91m,0.55,0.4,104m,org.apache.spark.serializer.JavaSerializer,53k,0.13,134,0.26,449m,0.63
ScalaSparkNWeight,2023-04-22,01:53:36,199715274,120.686,1654833,827416,56m,8,4,11g,8,2,16g,snappy,117k,99k,84k,36m,0.5,0.15,86m,org.apache.spark.serializer.JavaSerializer,32k,0.29,623,0.34,84m,0.26
ScalaSparkNWeight,2023-04-22,02:05:03,199715274,147.131,1357397,678698,78m,7,7,16g,2,8,4g,lz4,15k,91k,59k,75m,0.44,0.19,82m,org.apache.spark.serializer.JavaSerializer,37k,0.84,423,0.48,105m,0.57
ScalaSparkNWeight,2023-04-22,02:15:42,199715274,117.88,1694225,847112,13m,8,6,6g,8,2,16g,lz4,54k,90k,9k,15m,0.74,0.2,27m,org.apache.spark.serializer.JavaSerializer,42k,0.23,334,0.32,51m,0.26
ScalaSparkNWeight,2023-04-22,02:29:17,199715274,206.792,965778,482889,81m,2,2,7g,8,2,16g,snappy,88k,99k,115k,12m,0.33,0.27,20m,org.apache.spark.serializer.JavaSerializer,5k,0.32,473,0.22,7m,0.6
ScalaSparkNWeight,2023-04-22,02:40:06,199715274,127.394,1567697,783848,92m,15,7,4g,8,2,16g,lzf,111k,52k,107k,57m,0.69,0.16,105m,org.apache.spark.serializer.JavaSerializer,50k,0.39,62,0.15,220m,0.6
ScalaSparkNWeight,2023-04-22,02:50:33,199715274,118.75,1681812,840906,109m,15,7,5g,4,4,8g,lzf,18k,113k,111k,102m,0.64,0.22,120m,org.apache.spark.serializer.JavaSerializer,21k,0.81,514,0.78,367m,0.3
ScalaSparkNWeight,2023-04-22,03:01:37,199715274,118.491,1685488,842744,52m,9,2,6g,4,4,8g,snappy,87k,4k,63k,95m,0.53,0.84,50m,org.apache.spark.serializer.KryoSerializer,73k,0.46,118,0.52,196m,0.39
ScalaSparkNWeight,2023-04-22,03:13:20,199715274,154.889,1289409,644704,120m,15,3,7g,4,4,8g,lzf,107k,56k,35k,80m,0.35,0.72,22m,org.apache.spark.serializer.KryoSerializer,76k,0.65,204,0.54,92m,0.61
ScalaSparkNWeight,2023-04-22,03:33:39,199715274,356.104,560834,280417,9m,12,5,16g,8,2,16g,lzf,55k,63k,68k,86m,0.14,0.3,103m,org.apache.spark.serializer.KryoSerializer,117k,0.35,50,0.71,403m,0.16
ScalaSparkNWeight,2023-04-22,03:45:11,199715274,122.61,1628866,814433,80m,4,2,7g,2,8,4g,snappy,65k,71k,7k,60m,0.82,0.89,94m,org.apache.spark.serializer.JavaSerializer,115k,0.85,153,0.86,203m,0.46
ScalaSparkNWeight,2023-04-22,03:56:33,199715274,128.119,1558826,779413,25m,12,1,5g,8,2,16g,snappy,8k,56k,74k,91m,0.88,0.44,38m,org.apache.spark.serializer.KryoSerializer,98k,0.47,568,0.9,88m,0.11
ScalaSparkNWeight,2023-04-22,04:07:46,199715274,126.026,1584714,792357,50m,13,1,8g,2,8,4g,lzf,126k,96k,27k,69m,0.56,0.25,98m,org.apache.spark.serializer.JavaSerializer,65k,0.85,118,0.73,464m,0.55
ScalaSparkNWeight,2023-04-22,04:18:50,199715274,117.797,1695419,847709,110m,6,8,6g,2,8,4g,lz4,9k,40k,85k,119m,0.8,0.18,54m,org.apache.spark.serializer.KryoSerializer,68k,0.58,164,0.7,204m,0.16
ScalaSparkNWeight,2023-04-22,04:29:29,199715274,120.568,1656453,828226,23m,13,1,5g,4,4,8g,lzf,92k,60k,96k,106m,0.54,0.32,117m,org.apache.spark.serializer.JavaSerializer,13k,0.1,383,0.41,483m,0.15
ScalaSparkNWeight,2023-04-22,04:40:22,199715274,125.906,1586225,793112,61m,12,6,4g,8,2,16g,lz4,6k,83k,100k,60m,0.85,0.74,2m,org.apache.spark.serializer.KryoSerializer,25k,0.63,408,0.18,456m,0.68
ScalaSparkNWeight,2023-04-22,04:50:53,199715274,118.744,1681897,840948,68m,16,5,6g,8,2,16g,lz4,93k,9k,22k,29m,0.43,0.51,68m,org.apache.spark.serializer.JavaSerializer,50k,0.6,184,0.26,121m,0.36
ScalaSparkNWeight,2023-04-22,05:02:04,199715274,131.835,1514888,757444,29m,10,1,15g,4,4,8g,lz4,56k,17k,104k,38m,0.42,0.73,70m,org.apache.spark.serializer.KryoSerializer,97k,0.5,291,0.73,400m,0.15
ScalaSparkNWeight,2023-04-22,05:12:44,199715274,129.557,1541524,770762,25m,11,1,13g,8,2,16g,lz4,58k,28k,49k,65m,0.87,0.24,27m,org.apache.spark.serializer.KryoSerializer,40k,0.55,113,0.32,497m,0.14
ScalaSparkNWeight,2023-04-22,05:24:29,199715274,122.106,1635589,817794,31m,2,3,14g,8,2,16g,snappy,47k,37k,124k,121m,0.6,0.18,117m,org.apache.spark.serializer.JavaSerializer,82k,0.4,749,0.34,417m,0.12
ScalaSparkNWeight,2023-04-22,05:35:52,199715274,142.051,1405940,702970,58m,8,7,10g,2,8,4g,lz4,21k,75k,70k,88m,0.45,0.35,110m,org.apache.spark.serializer.JavaSerializer,100k,0.47,349,0.53,278m,0.89
ScalaSparkNWeight,2023-04-22,01:54:47,199711968,123.308,1619618,809809,96m,6,1,4g,2,8,4g,lz4,68k,6k,10k,9m,0.62,0.18,53m,org.apache.spark.serializer.KryoSerializer,19k,0.86,313,0.4,332m,0.47
ScalaSparkNWeight,2023-04-22,02:06:17,199711968,125.687,1588962,794481,97m,10,7,5g,8,2,16g,lzf,57k,110k,32k,96m,0.77,0.43,68m,org.apache.spark.serializer.KryoSerializer,128k,0.34,113,0.55,449m,0.41
ScalaSparkNWeight,2023-04-22,02:17:38,199711968,127.298,1568853,784426,20m,9,3,15g,4,4,8g,lzf,80k,37k,62k,25m,0.81,0.49,37m,org.apache.spark.serializer.KryoSerializer,36k,0.84,425,0.22,427m,0.64
ScalaSparkNWeight,2023-04-22,02:36:49,199711968,248.895,802394,401197,85m,14,6,10g,2,8,4g,snappy,11k,23k,78k,30m,0.19,0.56,46m,org.apache.spark.serializer.KryoSerializer,80k,0.63,774,0.19,281m,0.47
ScalaSparkNWeight,2023-04-22,02:49:16,199711968,129.77,1538968,769484,56m,11,1,7g,2,8,4g,lzf,80k,17k,98k,71m,0.87,0.4,9m,org.apache.spark.serializer.KryoSerializer,32k,0.51,455,0.74,158m,0.36
ScalaSparkNWeight,2023-04-22,03:00:10,199711968,118.654,1683145,841572,88m,16,7,8g,8,2,16g,lz4,89k,44k,21k,53m,0.75,0.27,102m,org.apache.spark.serializer.JavaSerializer,115k,0.72,602,0.42,173m,0.66
